segment,customer,orders,revenue,AOV,customer_percentage,revenue_percentage
One-Time,90557,90557,12493089.36,137.95829543823226,96.99972150217442,94.49072454619139
Repeat,2754,5689,697249.32,122.56096326243627,2.949934660125538,5.273602992633942
Highly Loyal,47,232,31159.43,134.3078879310345,0.05034383770003642,0.23567246117467397
